caseName,imax,jmax,h_rep,L1_p,L2_p,Linf_p,L1_u,L2_u,Linf_u,L1_v,L2_v,Linf_v
PJ_65_MMS1,65,65,6.500000e+01,1.268267e-04,1.683214e-04,6.076374e-04,7.540791e-05,9.326155e-05,1.707456e-04,1.130622e-04,1.387368e-04,2.623853e-04
SGS_65_MMS1,65,65,6.500000e+01,1.268267e-04,1.683214e-04,6.076374e-04,7.540791e-05,9.326155e-05,1.707456e-04,1.130622e-04,1.387368e-04,2.623853e-04
PJ_65_MMS1,65,65,6.500000e+01,4.451786e-04,5.155072e-04,1.133273e-03,8.552026e-05,1.185002e-04,2.810357e-04,6.839253e-05,8.310824e-05,1.830819e-04
PJ_65_MMS1,65,65,6.500000e+01,4.451786e-04,5.155072e-04,1.133273e-03,8.552026e-05,1.185002e-04,2.810357e-04,6.839253e-05,8.310824e-05,1.830819e-04
PJ_65_MMS1,65,65,6.500000e+01,4.448441e-04,5.152127e-04,1.143791e-03,8.470789e-05,1.170879e-04,2.783355e-04,6.792974e-05,8.253378e-05,1.815714e-04
PJ_33_MMS1,33,33,3.300000e+01,1.784737e-04,2.371176e-04,8.306247e-04,7.127179e-05,9.139675e-05,1.911913e-04,6.929757e-05,8.793622e-05,1.693891e-04
PJ_129_MMS1,129,129,7.751938e-03,4.250616e-04,5.139924e-04,1.170421e-03,1.521624e-04,1.964517e-04,4.198487e-04,9.912573e-05,1.335725e-04,3.087105e-04
PJ_65_MMS1_02visc,65,65,1.538462e-02,4.448441e-04,5.152127e-04,1.143791e-03,8.470789e-05,1.170879e-04,2.783355e-04,6.792974e-05,8.253378e-05,1.815714e-04
PJ_65_MMS1_00visc,65,65,1.538462e-02,4.448441e-04,5.152127e-04,1.143791e-03,8.470789e-05,1.170879e-04,2.783355e-04,6.792974e-05,8.253378e-05,1.815714e-04
PJ_65_MMS1_05visc,65,65,1.538462e-02,4.448441e-04,5.152127e-04,1.143791e-03,8.470789e-05,1.170879e-04,2.783355e-04,6.792974e-05,8.253378e-05,1.815714e-04
PJ_65_MMS1_02visc,65,65,1.538462e-02,4.444764e-04,5.147543e-04,1.146198e-03,8.363925e-05,1.153594e-04,2.749566e-04,6.735122e-05,8.182944e-05,1.797440e-04
